Source_label,Target_label,value,Source_node,Target_node,stage,hex,color_name,rgb,rgba,link_label
Oil,Liquid Fuels,27.9483616741,0,9,source,#FD7575,light red,"253,117,117","rgba(253,117,117, 0.5)",Oil 27.9 EJ
Natural Gas,Gas,29.9962,1,8,source,#169E70,green,"22,158,112","rgba(22,158,112, 0.5)",Natural Gas 30 EJ
Natural Gas,Hydrogen,0.147167,1,11,source,#169E70,green,"22,158,112","rgba(22,158,112, 0.5)",Natural Gas 0.1 EJ
Natural Gas,Liquid Fuels,1.5326691831100001,1,9,source,#169E70,green,"22,158,112","rgba(22,158,112, 0.5)",Natural Gas 1.5 EJ
Biomass,Commercial,0.190512543611927,2,15,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 0.2 EJ
Biomass,Electricity,0.019371598653262,2,10,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 0 EJ
Biomass,Gas,1.64133,2,8,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 1.6 EJ
Biomass,Hydrogen,0.0383103,2,11,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 0 EJ
Biomass,Industry,1.7680552746836,2,14,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 1.8 EJ
Biomass,Liquid Fuels,5.15844348104758,2,9,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 5.2 EJ
Biomass,Residential,0.492541364618337,2,16,source,#B92DAA,fuscia,"185,45,170","rgba(185,45,170, 0.5)",Biomass 0.5 EJ
Coal,Electricity,0.602351976641202,3,10,source,#080808,dark grey,"8,8,8","rgba(8,8,8, 0.5)",Coal 0.6 EJ
Coal,Hydrogen,2.13892e-6,3,11,source,#080808,dark grey,"8,8,8","rgba(8,8,8, 0.5)",Coal 0 EJ
Coal,Industry,1.3590412190116,3,14,source,#080808,dark grey,"8,8,8","rgba(8,8,8, 0.5)",Coal 1.4 EJ
Coal,Liquid Fuels,0.4737408651216,3,9,source,#080808,dark grey,"8,8,8","rgba(8,8,8, 0.5)",Coal 0.5 EJ
Nuclear,Electricity,0.61411056411939,4,10,source,#FF8100,orange,"255,129,0","rgba(255,129,0, 0.5)",Nuclear 0.6 EJ
Nuclear,Hydrogen,0.0263302,4,11,source,#FF8100,orange,"255,129,0","rgba(255,129,0, 0.5)",Nuclear 0 EJ
Wind,Electricity,6.939518886397061,5,10,source,#62C0F5,light blue,"98,192,245","rgba(98,192,245, 0.5)",Wind 6.9 EJ
Solar,Electricity,3.92189339271124,6,10,source,#F7EB49,yellow,"247,235,73","rgba(247,235,73, 0.5)",Solar 3.9 EJ
Hydropower,Electricity,0.9959921691,7,10,source,#0F6092,dark blue,"15,96,146","rgba(15,96,146, 0.5)",Hydropower 1 EJ
Gas,Commercial,2.897379251083423,8,15,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 2.9 EJ
Gas,Electricity,10.415642348433902,8,10,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 10.4 EJ
Gas,Hydrogen,0.170961,8,11,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 0.2 EJ
Gas,Industry,8.46285258441,8,14,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 8.5 EJ
Gas,Liquid Fuels,0.743685243801686,8,9,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 0.7 EJ
Gas,Losses,1.3263776337009858,8,17,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 1.3 EJ
Gas,Residential,3.668122517690007,8,16,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 3.7 EJ
Gas,Transportation-Vehicle,3.95250942088,8,13,mid,#8DD65E,lime,"141,214,94","rgba(141,214,94, 0.5)",Gas 4 EJ
Liquid Fuels,Commercial,0.469677189051102,9,15,mid,#AB0000,dark red,"171,0,0","rgba(171,0,0, 0.5)",Liquid Fuels 0.5 EJ
Liquid Fuels,Industry,7.471247018403,9,14,mid,#AB0000,dark red,"171,0,0","rgba(171,0,0, 0.5)",Liquid Fuels 7.5 EJ
Liquid Fuels,Losses,5.028905288179697,9,17,mid,#AB0000,dark red,"171,0,0","rgba(171,0,0, 0.5)",Liquid Fuels 5 EJ
Liquid Fuels,Residential,0.297186437680368,9,16,mid,#AB0000,dark red,"171,0,0","rgba(171,0,0, 0.5)",Liquid Fuels 0.3 EJ
Liquid Fuels,Transportation-NonVehicle,6.0117949072690005,9,12,mid,#AB0000,dark red,"171,0,0","rgba(171,0,0, 0.5)",Liquid Fuels 6 EJ
Liquid Fuels,Transportation-Vehicle,16.7276030251,9,13,mid,#AB0000,dark red,"171,0,0","rgba(171,0,0, 0.5)",Liquid Fuels 16.7 EJ
Electricity,Commercial,5.617240552039584,10,15,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 5.6 EJ
Electricity,Industry,3.55883257724,10,14,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 3.6 EJ
Electricity,Liquid Fuels,0.1495134185023,10,9,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 0.1 EJ
Electricity,Losses,7.486256754058211,10,17,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 7.5 EJ
Electricity,Residential,6.093385764795963,10,16,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 6.1 EJ
Electricity,Transportation-NonVehicle,0.04847101106,10,12,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 0 EJ
Electricity,Transportation-Vehicle,0.55518085836,10,13,mid,#FFBD05,marigold,"255,189,5","rgba(255,189,5, 0.5)",Electricity 0.6 EJ
Hydrogen,Industry,0.004512474563302,11,14,mid,#FF96B8,pink,"255,150,184","rgba(255,150,184, 0.5)",Hydrogen 0 EJ
Hydrogen,Losses,0.13101724517669805,11,17,mid,#FF96B8,pink,"255,150,184","rgba(255,150,184, 0.5)",Hydrogen 0.1 EJ
Hydrogen,Transportation-Vehicle,0.24724091918,11,13,mid,#FF96B8,pink,"255,150,184","rgba(255,150,184, 0.5)",Hydrogen 0.2 EJ
